time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2000000000000006,-0.1255738339816899,0.1540608945351401,11.706916837947263,0.04990932048667496,0.08526428837650268,0.0,-0.4189761112275075,0.41039184757659664,2.5758801054877307,-0.024576010582286877,0.061538691972581494,0.0,440.0586837509035,442.9393187058308,441.1835943042609,440.6658871543522
1.2600000000000007,-0.1523864696397851,0.17965498425186235,11.86316020157799,0.0523015344708746,0.09000584647077048,0.0,-0.47521264263383683,0.44294135582693644,2.632035378027927,-0.00420170317436528,0.07162321663464258,0.0,429.9617547994981,430.81852616996383,429.83025180426677,431.55346360638583
1.3200000000000007,-0.18272244115732295,0.20727076046762288,12.023347629224196,0.05226306418999371,0.095267499840749,0.0,-0.5365021233199737,0.4775702650785935,2.707298934431131,-0.010605112594601937,0.059599120583690095,0.0,438.0108531677851,437.0132693125258,437.0540919400092,436.5201700708951
1.3800000000000008,-0.21693509988653345,0.23701005205616033,12.188980123473707,0.05189147171407793,0.1011343584869211,0.0,-0.6045198984108521,0.5136860824073054,2.813442265278784,-0.01756757406387737,0.04177503213003479,0.0,449.55884832844345,448.1141815380385,446.39634053821356,445.8279473241978
1.4400000000000008,-0.25513671985904385,0.2688141230215582,12.35898386242021,0.054852873040987404,0.10409265825135261,0.0,-0.6691312578230139,0.5466943933897954,2.853181764379829,0.003216386946016686,0.048035107396946775,0.0,426.0429607496265,426.57904377394453,426.58909562755133,428.3602777017479
1.5000000000000009,-0.2975500608377349,0.3027899738412911,12.533978353720734,0.055482025960444936,0.10749125195521803,0.0,-0.744987241927188,0.5858674609000148,2.979569460376074,0.009349928459816274,0.03887125375473838,0.0,454.79751720757054,454.0640725258132,455.0352545483332,455.5259070129826
1.560000000000001,-0.34441835587906305,0.3390428312139014,12.71500894913818,0.05607681731816605,0.10992571983771438,0.0,-0.8175183512779828,0.6225987945717937,3.0545225170912227,0.010494174086377055,0.03396922757308513,0.0,440.7866901628987,440.3820564708164,438.44767841594364,438.5426129096978
1.620000000000001,-0.39573031053713364,0.37753350021805093,12.900910281346755,0.05734009538699514,0.11209074298834665,0.0,-0.893083472736227,0.6605200971432688,3.1418823226523833,0.01809616432293075,0.028686828520216874,0.0,444.03418382252966,443.601004160964,443.9773857193659,444.60056396734075
1.680000000000001,-0.45156824397525347,0.4182854882428262,13.091358670928718,0.05875728766278243,0.12031083845547119,0.0,-0.9689876290354555,0.6979995362241894,3.2060652096588336,0.01047656451988161,-0.000465092564883288,0.0,438.65117374194244,436.22355544880486,437.64011165042854,437.00532860501926
1.740000000000001,-0.5124849640524202,0.4615312639142494,13.288809833260485,0.06834778777954931,0.12260771215080091,0.0,-1.061758072081167,0.7445302281808391,3.3749925304216104,0.04209217297383348,0.01508049995970732,0.0,470.34378557050775,471.5461677607748,468.94142558486647,471.39098629243415
1.8000000000000012,-0.578990826224662,0.5077422945419777,13.496138583817425,0.07088211325566274,0.12407236432431201,0.0,-1.1552088335331052,0.7960758772557819,3.5353785163471145,0.03931210529120433,0.022164097892025475,0.0,468.64542353608164,469.19562389362386,469.77927022590023,469.5644421306256
1.8600000000000012,-0.6507697702484933,0.5568846015733318,13.710060817037672,0.07323330761813196,0.12732640586164123,0.0,-1.2377381230520996,0.8421991245739305,3.5950565513739035,0.038844469826790844,0.005721231928978844,0.0,440.02191358582917,438.65845533198603,439.2464467038393,439.2084462509078
1.9200000000000013,-0.7274779811323424,0.608794199047243,13.926926915474368,0.076130772647935,0.12839664382066385,0.0,-1.3192936474156403,0.8883769842324328,3.6335999118440503,0.02931025874713751,0.01393801997506293,0.0,432.98437715145127,433.67503526536433,433.242373481164,432.44055077879807
